Size;Time;Proc
12;0.0561688;64
4;1.00434e-05;1
4;8.88854e-06;1
4;7.48783e-06;1
4;7.43568e-06;1
4;2.30968e-06;1
5;1.86563e-05;1
5;8.18074e-06;1
5;7.58469e-06;1
5;2.33576e-05;1
5;7.44313e-06;1
6;4.28855e-05;1
6;8.51005e-05;1
6;8.38712e-05;1
6;8.31187e-05;1
6;8.3223e-05;1
7;0.000152662;1
7;0.000341155;1
7;0.000106223;1
7;0.000106394;1
7;0.000105456;1
8;0.000596851;1
8;0.000696868;1
8;0.00110483;1
8;0.00103786;1
8;0.00112797;1
9;0.00313776;1
9;0.00267146;1
9;0.002682;1
9;0.00306458;1
9;0.00314656;1
10;0.0155504;1
10;0.0128235;1
10;0.0120839;1
10;0.0113804;1
10;0.0113515;1
11;0.0821257;1
11;0.0695678;1
11;0.0691153;1
11;0.0689099;1
11;0.0786672;1
12;0.485122;1
12;0.487277;1
12;0.503083;1
12;0.457396;1
12;0.517571;1
4;8.53091e-06;1
4;3.03239e-06;1
4;2.43634e-06;1
4;7.39843e-06;1
4;2.27243e-06;1
5;1.90884e-05;1
5;2.43485e-05;1
5;7.63685e-06;1
5;2.33427e-05;1
5;2.29701e-05;1
6;4.28408e-05;1
6;8.47206e-05;1
6;8.3521e-05;1
6;8.35657e-05;1
6;8.28803e-05;1
7;0.000145644;1
7;0.00032866;1
7;0.000326753;1
7;0.00032524;1
7;0.000325821;1
8;0.000591993;1
8;0.000562571;1
8;0.00111596;1
8;0.00130679;1
8;0.00047718;1
9;0.00300742;1
9;0.00291634;1
9;0.00314786;1
9;0.00263774;1
9;0.00309941;1
10;0.0156665;1
10;0.0127185;1
10;0.0119667;1
10;0.0115801;1
10;0.0113358;1
11;0.082407;1
11;0.0693974;1
11;0.0690155;1
11;0.0694825;1
11;0.0692992;1
12;0.495811;1
12;0.487468;1
12;0.515196;1
12;0.457347;1
12;0.527478;1
4;2.59802e-05;2
4;6.50436e-06;2
4;6.20633e-06;2
4;6.19143e-06;2
4;5.84871e-06;2
5;1.73301e-05;2
5;8.11368e-06;2
5;6.87689e-06;2
5;6.75023e-06;2
5;6.66082e-06;2
6;5.11184e-05;2
6;5.37261e-05;2
6;5.22733e-05;2
6;5.18411e-05;2
6;5.17741e-05;2
7;0.000127956;2
7;9.28417e-05;2
7;0.000178628;2
7;6.64741e-05;2
7;0.000178255;2
8;0.000379533;2
8;0.000645615;2
8;0.000284061;2
8;0.000672415;2
8;0.000282392;2
9;0.00175644;2
9;0.00206831;2
9;0.00159684;2
9;0.00139938;2
9;0.0018085;2
10;0.00894976;2
10;0.00758368;2
10;0.0078226;2
10;0.00735986;2
10;0.00821614;2
11;0.0801172;2
11;0.0826103;2
11;0.0593873;2
11;0.0513416;2
11;0.0504315;2
12;0.621879;2
12;0.260771;2
12;0.262322;2
12;0.235764;2
12;0.259554;2
12;0.552497;2
12;0.275254;2
12;0.287517;2
12;0.264497;2
12;0.249872;2
11;0.0453373;2
11;0.0412693;2
11;0.0407496;2
11;0.0369241;2
11;0.0492441;2
10;0.00749607;2
10;0.00673892;2
10;0.00693282;2
10;0.00630271;2
10;0.00687355;2
9;0.00167534;2
9;0.00169854;2
9;0.00148692;2
9;0.0013573;2
9;0.00147397;2
8;0.000319324;2
8;0.000267603;2
8;0.000238471;2
8;0.000236444;2
8;0.000239626;2
7;0.000121243;2
7;6.79791e-05;2
7;0.000188731;2
7;0.000177518;2
7;6.70627e-05;2
6;5.05373e-05;2
6;5.40093e-05;2
6;5.23701e-05;2
6;2.15396e-05;2
6;5.20572e-05;2
5;1.67415e-05;2
5;7.32392e-06;2
5;6.69807e-06;2
5;6.75023e-06;2
5;1.15931e-05;2
4;2.02954e-05;2
4;1.48416e-05;2
4;1.30832e-05;2
4;1.23456e-05;2
4;1.24797e-05;2
4;2.55778e-05;4
4;6.70552e-06;4
4;2.36481e-05;4
4;6.11693e-06;4
4;1.83359e-05;4
5;4.88088e-05;4
5;7.7635e-06;4
5;6.98864e-06;4
5;6.22123e-06;4
5;6.76513e-06;4
6;7.61226e-05;4
6;2.09138e-05;4
6;1.70767e-05;4
6;2.07275e-05;4
6;1.32471e-05;4
7;0.000138663;4
7;5.51045e-05;4
7;0.000117019;4
7;0.000107028;4
7;0.000106983;4
8;0.000281982;4
8;0.00018689;4
8;0.000184923;4
8;0.000183016;4
8;0.000188276;4
9;0.00122332;4
9;0.00120348;4
9;0.00103609;4
9;0.000937268;4
9;0.00102862;4
10;0.00679047;4
10;0.00451025;4
10;0.00655524;4
10;0.00459136;4
10;0.00491205;4
11;0.0345518;4
11;0.033723;4
11;0.0505411;4
11;0.0275106;4
11;0.053833;4
12;0.272288;4
12;0.248339;4
12;0.25079;4
12;0.142595;4
12;0.234642;4
12;0.321093;4
12;0.3229;4
12;0.351868;4
12;0.298773;4
12;0.322884;4
11;0.0431749;4
11;0.0474393;4
11;0.0454626;4
11;0.0322684;4
11;0.0340572;4
10;0.00537623;4
10;0.00449271;4
10;0.00419705;4
10;0.00407185;4
10;0.00412867;4
9;0.00115499;4
9;0.000901714;4
9;0.000854909;4
9;0.000844628;4
9;0.000844076;4
8;0.000294089;4
8;0.000187412;4
8;0.000185154;4
8;0.000183232;4
8;0.000186846;4
7;0.000142813;4
7;5.40689e-05;4
7;5.16325e-05;4
7;5.41061e-05;4
7;5.28172e-05;4
6;6.84783e-05;4
6;2.09212e-05;4
6;1.96025e-05;4
6;2.93925e-05;4
6;2.18973e-05;4
5;5.35697e-05;4
5;9.29832e-06;4
5;8.41916e-06;4
5;9.55909e-06;4
5;7.55489e-06;4
4;2.24113e-05;4
4;6.48201e-06;4
4;5.51343e-06;4
4;5.79655e-06;4
4;5.34952e-06;4
4;2.92659e-05;8
4;9.6634e-06;8
4;8.44151e-06;8
4;7.91997e-06;8
4;8.00192e-06;8
5;3.4377e-05;8
5;9.10461e-06;8
5;7.54744e-06;8
5;7.84546e-06;8
5;6.87689e-06;8
6;0.000109196;8
6;2.44901e-05;8
6;2.23443e-05;8
6;1.96174e-05;8
6;2.00346e-05;8
7;0.000167295;8
7;3.87803e-05;8
7;3.60012e-05;8
7;3.53381e-05;8
7;3.64035e-05;8
8;0.000327982;8
8;0.000153802;8
8;0.000143752;8
8;0.000148028;8
8;0.000146702;8
9;0.0010887;8
9;0.000748947;8
9;0.000614613;8
9;0.000595778;8
9;0.000603199;8
10;0.00469003;8
10;0.00336321;8
10;0.00357857;8
10;0.00279532;8
10;0.00321695;8
11;0.0259458;8
11;0.020568;8
11;0.013489;8
11;0.0141155;8
11;0.0180965;8
12;0.16122;8
12;0.12281;8
12;0.0883957;8
12;0.0841446;8
12;0.0829336;8
12;0.156885;8
12;0.112297;8
12;0.087613;8
12;0.124252;8
12;0.118331;8
11;0.0318362;8
11;0.0342163;8
11;0.0146995;8
11;0.0169964;8
11;0.0138464;8
10;0.00355709;8
10;0.0028727;8
10;0.00234026;8
10;0.0023317;8
10;0.00233204;8
9;0.00105491;8
9;0.000830963;8
9;0.00069309;8
9;0.000806034;8
9;0.000653997;8
8;0.000277519;8
8;0.000129178;8
8;0.000125006;8
8;0.000125453;8
8;0.000124596;8
7;0.000158608;8
7;4.4629e-05;8
7;4.37275e-05;8
7;4.30644e-05;8
7;4.36082e-05;8
6;0.000104681;8
6;1.5825e-05;8
6;1.53631e-05;8
6;1.42753e-05;8
6;1.37091e-05;8
5;3.76254e-05;8
5;9.46969e-06;8
5;9.06736e-06;8
