Size;Time;Thread
12;0.0448538;8
12;0.0450338;8
12;0.0236631;16
12;0.0234094;16
12;0.0435675;16
12;0.0237777;16
12;0.0242396;16
12;0.0133308;32
12;0.0131555;32
12;0.0136357;32
12;0.0133342;32
12;0.0133606;32
12;0.00887969;64
12;0.00916016;64
12;0.0091792;64
12;0.00915398;64
12;0.00912675;64
4;1.14292e-05;1
4;1.14962e-05;1
4;1.15037e-05;1
4;1.13174e-05;1
4;1.13398e-05;1
4;1.23978e-05;2
4;1.12355e-05;2
4;1.03116e-05;2
4;1.20774e-05;2
4;2.2769e-05;2
4;1.76281e-05;4
4;1.19358e-05;4
4;1.1228e-05;4
4;1.10641e-05;4
4;1.08033e-05;4
4;1.30013e-05;8
4;1.08778e-05;8
4;1.2666e-05;8
4;1.43722e-05;8
4;1.31801e-05;8
4;1.52141e-05;16
4;0.000165835;16
4;8.16658e-05;16
4;1.39475e-05;16
4;1.34185e-05;16
4;1.63093e-05;32
4;1.16229e-05;32
4;1.5609e-05;32
4;1.29342e-05;32
4;1.54823e-05;32
4;2.83793e-05;64
4;2.40505e-05;64
4;2.46316e-05;64
4;2.51979e-05;64
4;2.66209e-05;64
5;1.14068e-05;1
5;1.16602e-05;1
5;1.14515e-05;1
5;3.39672e-05;1
5;3.41535e-05;1
5;0.000125229;2
5;3.61726e-05;2
5;2.92212e-05;2
5;2.41771e-05;2
5;3.35574e-05;2
5;4.09633e-05;4
5;3.10019e-05;4
5;3.22163e-05;4
5;2.83644e-05;4
5;3.32221e-05;4
5;3.3848e-05;8
5;3.30657e-05;8
5;3.37586e-05;8
5;3.08007e-05;8
5;3.38182e-05;8
5;2.85655e-05;16
5;2.58982e-05;16
5;2.86028e-05;16
5;2.81483e-05;16
5;2.59653e-05;16
5;2.60025e-05;32
5;2.15545e-05;32
5;2.53767e-05;32
5;2.57716e-05;32
5;2.67774e-05;32
5;3.25069e-05;64
5;2.66135e-05;64
5;3.26708e-05;64
5;2.99588e-05;64
5;3.54946e-05;64
6;4.06578e-05;1
6;4.07174e-05;1
6;4.08292e-05;1
6;4.06653e-05;1
6;4.07472e-05;1
6;0.000102535;2
6;6.54235e-05;2
6;6.19143e-05;2
6;6.36503e-05;2
6;9.16794e-05;2
6;8.58232e-05;4
6;7.21514e-05;4
6;7.2524e-05;4
6;0.07312;4
6;7.55712e-05;4
6;8.5026e-05;8
6;9.90853e-05;8
6;0.000117168;8
6;0.000103176;8
6;0.00010848;8
6;7.9006e-05;16
6;7.93487e-05;16
6;7.78735e-05;16
6;8.25897e-05;16
6;7.94679e-05;16
6;5.8189e-05;32
6;5.30481e-05;32
6;5.37261e-05;32
6;6.62804e-05;32
6;6.17653e-05;32
6;5.37261e-05;64
6;6.25625e-05;64
6;6.47977e-05;64
6;6.86795e-05;64
6;6.24582e-05;64
7;0.000156932;1
7;0.000156678;1
7;0.000168011;1
7;0.00016775;1
7;0.000156537;1
7;0.000131913;2
7;0.000129059;2
7;0.000121944;2
7;0.000273138;2
7;0.000281833;2
7;0.00020925;4
7;0.000115655;4
7;0.000132203;4
7;0.000135578;4
7;0.000150055;4
7;0.00014776;8
7;0.000142694;8
7;0.000129975;8
7;0.000163957;8
7;0.000139654;8
7;0.000101134;16
7;0.000107311;16
7;0.000105344;16
7;9.51365e-05;16
7;0.000105813;16
7;9.3013e-05;32
7;9.34899e-05;32
7;0.000104345;32
7;0.000100285;32
7;8.72463e-05;32
7;9.79826e-05;64
7;9.13516e-05;64
7;9.06214e-05;64
7;9.47639e-05;64
7;9.70066e-05;64
8;0.00060989;1
8;0.00070817;1
8;0.00070817;1
8;0.00070817;1
8;0.00106671;1
8;0.00038211;2
8;0.00038211;2
8;0.00038211;2
8;0.00038211;2
8;0.00038211;2
8;0.000291646;4
8;0.00019072;4
8;0.000183016;4
8;0.000183627;4
8;0.000184424;4
8;0.000325531;8
8;0.000156797;8
8;0.000157699;8
8;0.000158153;8
8;0.000158757;8
8;0.000366189;16
8;0.000158057;16
8;0.000157103;16
8;0.000154793;16
8;0.000153005;16
8;0.000491381;32
8;0.000145294;32
8;0.000149876;32
8;0.000131443;32
8;0.000130996;32
8;0.000701845;64
8;0.000168353;64
8;0.000156254;64
8;0.000169061;64
8;0.000154138;64
9;0.00232363;1
9;0.00306328;1
9;0.00251377;1
9;0.00264671;1
9;0.00255978;1
9;0.0023084;2
9;0.00290675;2
9;0.00299302;2
9;0.00285263;2
9;0.00283681;2
9;0.00146651;4
9;0.00143629;4
9;0.00144736;4
9;0.00148112;4
9;0.00145984;4
9;0.000762403;8
9;0.000747755;8
9;0.000743121;8
9;0.000745371;8
9;0.000737235;8
9;0.000419244;16
9;0.000403456;16
9;0.000407822;16
9;0.000399664;16
9;0.000412896;16
9;0.000367597;32
9;0.000357628;32
9;0.000358708;32
9;0.000372626;32
9;0.00035885;32
9;0.00037282;64
9;0.000349134;64
9;0.000346377;64
9;0.000351854;64
9;0.000349209;64
10;0.00959555;1
10;0.00975033;1
10;0.00996006;1
10;0.01026;1
10;0.00960341;1
10;0.00884549;2
10;0.00992397;2
10;0.0111325;2
10;0.0111174;2
10;0.011122;2
10;0.00568233;4
10;0.00538351;4
10;0.0056864;4
10;0.00565134;4
10;0.00570839;4
10;0.00305173;8
10;0.00295433;8
10;0.00298608;8
10;0.00298455;8
10;0.00298474;8
10;0.00166371;16
10;0.00159342;16
10;0.00158615;16
10;0.0015891;16
10;0.0016006;16
10;0.00093428;32
10;0.000906371;32
10;0.00089927;32
10;0.000909828;32
10;0.000909559;32
10;0.00105757;64
10;0.000894688;64
10;0.000888474;64
10;0.000910096;64
10;0.000858121;64
11;0.0560651;1
11;0.0531645;1
11;0.052305;1
11;0.0509996;1
11;0.0507719;1
11;0.0369765;2
11;0.0415432;2
11;0.0479219;2
11;0.0475781;2
11;0.0477557;2
11;0.0247957;4
11;0.0223521;4
11;0.0243334;4
11;0.0243105;4
11;0.024364;4
11;0.0127961;8
11;0.0119812;8
11;0.0124259;8
11;0.0126762;8
11;0.0126765;8
11;0.00679272;16
11;0.00640556;16
11;0.00651974;16
11;0.00682688;16
11;0.00656255;16
11;0.00363744;32
11;0.00351728;32
11;0.0035305;32
11;0.00353572;32
11;0.00351589;32
11;0.00241781;64
11;0.00231776;64
11;0.00230057;64
11;0.00232122;64
11;0.00238274;64
12;0.261313;1
12;0.248169;1
12;0.246355;1
12;0.246017;1
12;0.245289;1
12;0.158291;2
12;0.163844;2
12;0.163936;2
12;0.165078;2
12;0.164729;2
12;0.0859754;4
12;0.0831567;4
12;0.0893562;4
12;0.0909262;4
12;0.0912665;4
12;0.0486369;8
12;0.0440797;8
12;0.0501176;8
12;0.0513114;8
12;0.0501617;8
12;0.0267088;16
12;0.0657221;16
12;0.025546;16
12;0.0248321;16
12;0.0265926;16
12;0.0141637;32
12;0.0128864;32
12;0.0135123;32
12;0.0135807;32
12;0.0135742;32
12;0.00896122;64
12;0.00906339;64
12;0.00901783;64
12;0.00902349;64
12;0.00913861;64
